iter,mse,mse_f,mse_b
69,10.700261116027832,0.029056770727038383,10.671204566955566
70,10.697608947753906,0.029088838025927544,10.668519973754883
71,10.694999694824219,0.02911941334605217,10.66588020324707
72,10.692431449890137,0.02914857119321823,10.663283348083496
73,10.68990421295166,0.02917638048529625,10.660727500915527
74,10.687416076660156,0.029202915728092194,10.65821361541748
75,10.684967994689941,0.02922826260328293,10.655739784240723
76,10.682558059692383,0.02925249934196472,10.653306007385254
77,10.680187225341797,0.029275719076395035,10.650911331176758
78,10.677851676940918,0.029298020526766777,10.648553848266602
79,10.675554275512695,0.029319504275918007,10.646234512329102
80,10.67329216003418,0.029340270906686783,10.643951416015625
81,10.671067237854004,0.029360424727201462,10.641706466674805
82,10.66887378692627,0.029380084946751595,10.639493942260742
83,10.666715621948242,0.029399361461400986,10.637316703796387
84,10.664591789245605,0.02941836416721344,10.635173797607422
85,10.662500381469727,0.029437217861413956,10.633063316345215
86,10.660442352294922,0.02945605106651783,10.630986213684082
87,10.658413887023926,0.029474981129169464,10.628938674926758
88,10.656417846679688,0.02949412725865841,10.626923561096191
89,10.654452323913574,0.029513627290725708,10.62493896484375
90,10.652517318725586,0.02953360602259636,10.622983932495117
91,10.650611877441406,0.029554195702075958,10.621057510375977
92,10.648734092712402,0.029575515538454056,10.619158744812012
93,10.646885871887207,0.029597703367471695,10.617288589477539
94,10.645065307617188,0.029620878398418427,10.61544418334961
95,10.643271446228027,0.029645176604390144,10.613626480102539
96,10.641504287719727,0.029670730233192444,10.611833572387695
97,10.639762878417969,0.029697652906179428,10.610065460205078
98,10.638049125671387,0.029726091772317886,10.608323097229004
99,10.636360168457031,0.029756156727671623,10.606603622436523
100,10.634695053100586,0.029787972569465637,10.604907035827637
101,10.633054733276367,0.029821662232279778,10.603233337402344
102,10.631438255310059,0.029857352375984192,10.601580619812012
103,10.629844665527344,0.029895149171352386,10.599949836730957
104,10.628273963928223,0.02993517927825451,10.598339080810547
105,10.626728057861328,0.02997754141688347,10.596750259399414
106,10.625201225280762,0.030022356659173965,10.595178604125977
107,10.623696327209473,0.030069733038544655,10.593626976013184
108,10.622215270996094,0.03011976182460785,10.592095375061035
109,10.620752334594727,0.030172554776072502,10.590579986572266
110,10.619311332702637,0.030228212475776672,10.589082717895508
111,10.617889404296875,0.030286813154816628,10.587602615356445
112,10.616486549377441,0.030348461121320724,10.586137771606445
113,10.615104675292969,0.03041323646903038,10.584691047668457
114,10.613739967346191,0.03048122674226761,10.583258628845215
115,10.612395286560059,0.03055250458419323,10.581842422485352
116,10.611068725585938,0.03062715008854866,10.58044147491455
117,10.609759330749512,0.03070523776113987,10.57905387878418
